transit_timestamp,bus_route,payment_method,fare_class_category,ridership,transfers,date
2023-01-01T00:00:00.000,Q95,metrocard,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q95,metrocard,Metrocard - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q95,omny,Metrocard - Unlimited 7-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,Q96,metrocard,Metrocard - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q96,metrocard,OMNY - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q96,metrocard,OMNY - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q96,omny,OMNY - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q96,omny,OMNY - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q97,metrocard,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q93,metrocard,OMNY - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q93,metrocard,OMNY - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q93,metrocard,Metrocard - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q93,metrocard,Metrocard - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q90,metrocard,OMNY - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q90,omny,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q90,omny,Metrocard - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q90,omny,Metrocard - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q90,omny,Metrocard - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q90,omny,Metrocard - Unlimited 30-Day,0,0,2023-01-01
